"","X","metric","Authors","subgroup","group","group_general","tissue","n_male","n_female","mean_female","mean_male","sd_female","sd_male","yi","vi","Protocol","genotype_intervention","hormonal_intervention","colitis_intervention","dietary_intervention","control"
"117",515,"Bray-Curtis","Zajac et al. 2022","APOE2_fecal","genotype (neuroprotective against Alzheimer)","genotype","fecal",8,7,0.299788596,0.352759385,0.064803163,0.077085608,0.69538819,0.28931664,"Zajac","yes","no","no","no","treatment"
"118",519,"Bray-Curtis","Zajac et al. 2022","APOE2/E3_cecal","genotype (neuroprotective against Alzheimer to neutral)","genotype","cecal",7,10,0.381033333,0.337059095,0.0578903,0.097801891,-0.546233732,0.254104261,"Zajac","yes","no","no","no","treatment"
"119",523,"Bray-Curtis","Zajac et al. 2022","APOE2/E2_small bowel","genotype (neuroprotective against Alzheimer)","genotype","small bowel",2,3,0.191310793,0.272351658,0.138007298,7.85e-17,0.52041159,0.931746955,"Zajac","yes","no","no","no","treatment"
"120",527,"Bray-Curtis","Zajac et al. 2022","APOE3/E3_cecal","genotype (neutral)","genotype","cecal",13,5,0.387892911,0.412345107,0.046116551,0.041529173,0.545025447,0.287336239,"Zajac","yes","no","no","no","treatment"
"121",531,"Bray-Curtis","Zajac et al. 2022","APOE3/E4_cecal","genotype (neutral to prime Alzheimer)","genotype","cecal",10,8,0.368517227,0.318329206,0.076933682,0.168221895,-0.351301222,0.229326218,"Zajac","yes","no","no","no","treatment"
"122",535,"Bray-Curtis","Zajac et al. 2022","APOE4/E4_cecal","genotype (prime Alzheimer)","genotype","cecal",5,4,0.348588899,0.386734553,0.069991635,0.037687685,0.627951661,0.487297152,"Zajac","yes","no","no","no","treatment"
"123",539,"Bray-Curtis","Zajac et al. 2022","APOE3/E3_small bowel","genotype (neutral)","genotype","small bowel",4,2,0.308884731,0.406619136,7.85e-17,0.038909988,2.314172899,1.899277862,"Zajac","yes","no","no","no","treatment"
"124",79,"Bray-Curtis","Zou et al. 2021","High fat chow","dietary intervention","dietary intervention","fecal",5,5,0.315035209,0.323205424,0.067250374,0.061410287,0.114529085,0.401044257,"Zou","no","no","no","yes","treatment"
"125",83,"Bray-Curtis","Zou et al. 2021","Glrx1 KO + Standard chow","genotype (pro-inflammation), dietary intervention","genotype, dietary intervention","fecal",2,3,0.355017309,0.220763237,0.137231194,0,-0.867000934,1.106482842,"Zou","yes","no","no","yes","treatment"
"126",87,"Bray-Curtis","Zou et al. 2021","Glrx1 KO + High fat chow","genotype (pro-inflammation), dietary intervention","genotype, dietary intervention","fecal",4,4,0.356138159,0.356210632,0.14567247,0.216404492,0.000341277,0.500000014,"Zou","yes","no","no","yes","treatment"
"127",91,"Bray-Curtis","Zou et al. 2021","Control","control","control","fecal",4,4,0.300083175,0.291281915,0.059004957,0.026724501,-0.166911579,0.503243597,"Zou","no","no","no","no","control"
"128",128,"Jaccard","Cheema & Pluznick 2019","Ang II infusion","increased blood pressure (cardiovascular disease model)","drug treatment","fecal",3,3,0.402476153,0.439416115,0.100573268,0.073328627,0.334885838,0.690733946,"Cheema","no","no","no","no","treatment"
"129",132,"Jaccard","Cheema & Pluznick 2019","Control","control","control","fecal",3,3,0.406915409,0.523896455,0.297659062,0.090670283,0.424212534,0.705285614,"Cheema","no","no","no","no","control"
"130",20,"Jaccard","Ellis et al. 2021","2H7MK9_cecal","dietary intervention","dietary intervention","cecal",7,7,0.429703326,0.473661582,0.041859867,0.041372103,0.988602424,0.333302891,"Ellis","no","no","no","yes","treatment"
"131",24,"Jaccard","Ellis et al. 2021","13C11MK4_cecal","dietary intervention","dietary intervention","cecal",7,7,0.415553144,0.482483923,0.032392484,0.041625307,1.679638843,0.423084146,"Ellis","no","no","no","yes","treatment"
"132",28,"Jaccard","Ellis et al. 2021","2H7PK_cecal","dietary intervention","dietary intervention","cecal",7,7,0.441133474,0.456564433,0.020983833,0.062394238,0.3102732,0.29040186,"Ellis","no","no","no","yes","treatment"
"133",32,"Jaccard","Ellis et al. 2021","2H7MK7_cecal","dietary intervention","dietary intervention","",7,7,0.436534779,0.454240756,0.020503272,0.064002258,0.348718039,0.291635468,"Ellis","no","no","no","yes","treatment"
"134",36,"Jaccard","Ellis et al. 2021","Control (unlabeled PK)_cecal","control","control","cecal",7,7,0.438398648,0.475719954,0.026826438,0.084872881,0.554975878,0.300711405,"Ellis","no","no","no","no","control"
"135",40,"Jaccard","Ellis et al. 2021","MK4_cecal","dietary intervention","dietary intervention","cecal",10,10,0.517295697,0.478199865,0.049071502,0.041233638,-0.826082711,0.220982235,"Ellis","no","no","no","yes","treatment"
"136",44,"Jaccard","Ellis et al. 2021","PK_cecal","dietary intervention","dietary intervention","cecal",10,9,0.479781839,0.498560073,0.07130129,0.071684971,0.250827075,0.21317219,"Ellis","no","no","no","yes","treatment"
"137",48,"Jaccard","Ellis et al. 2021","VKdef_cecal","dietary intervention","dietary intervention","cecal",8,9,0.483088149,0.481414834,0.076718299,0.03100283,-0.026512235,0.236137607,"Ellis","no","no","no","yes","treatment"
"138",52,"Jaccard","Ellis et al. 2021","Combo_cecal","dietary intervention","dietary intervention","cecal",10,9,0.466995575,0.489180705,0.049175501,0.054233089,0.408157439,0.216568705,"Ellis","no","no","no","yes","treatment"
"139",56,"Jaccard","Ellis et al. 2021","MK9_cecal","dietary intervention","dietary intervention","cecal",9,9,0.495592465,0.499358626,0.037090229,0.051980688,0.079425525,0.222443363,"Ellis","no","no","no","yes","treatment"
"140",272,"Jaccard","Gubert et al. 2022","WT_control","control","control","fecal",8,8,0.484645521,0.491017439,0.102878191,0.047180481,0.075262033,0.250230906,"Gubert","no","no","no","no","control"
"141",276,"Jaccard","Gubert et al. 2022","WT_Enviromental enrichment ","environmental intervention","environmental intervention","fecal",8,8,0.427372221,0.524528059,0.058840237,0.092052524,1.188834528,0.30761382,"Gubert","no","no","no","no","treatment"
"142",280,"Jaccard","Gubert et al. 2022","WT_Exercise","exercise","exercise","fecal",8,8,0.427557151,0.4051403,0.065141634,0.061399329,-0.334770861,0.254568558,"Gubert","no","no","no","no","treatment"
"143",284,"Jaccard","Gubert et al. 2022","R6/1_Enviromental enrichment ","genotype, environmental intervention","genotype, environmental intervention","fecal",8,7,0.463139553,0.442233969,0.050600647,0.071315886,-0.314183032,0.27223771,"Gubert","yes","no","no","no","treatment"
"144",288,"Jaccard","Gubert et al. 2022","R6/1_Exercise","genotype, exercise","genotype, exercise","fecal",8,8,0.442731658,0.438732516,0.073790494,0.047207722,-0.061030369,0.250151836,"Gubert","yes","no","no","no","treatment"
"145",292,"Jaccard","Gubert et al. 2022","R6/1_control","genotype","genotype","fecal",8,8,0.475724019,0.495173251,0.089601309,0.072415409,0.225687225,0.252076337,"Gubert","yes","no","no","no","treatment"
"146",196,"Jaccard","Ibrahim et al. 2019","AOM/DSS-ERbKOVil","colitis and inflammatory intervention, genotype, hormonal intervention","colitis and inflammatory intervention, genotype, hormonal intervention","fecal",7,6,0.488169455,0.493691212,0.046357785,0.084454543,0.073603091,0.309815992,"Ibrahim","yes","yes","yes","no","treatment"
"147",200,"Jaccard","Ibrahim et al. 2019","Control","control","control","fecal",4,4,0.392756208,0.470736831,0.158893282,0.10497081,0.503020127,0.529459453,"Ibrahim","no","no","no","no","control"
"148",204,"Jaccard","Ibrahim et al. 2019","AOM/DSS","colitis and inflammatory intervention","colitis and inflammatory intervention","fecal",7,3,0.436222884,0.470829894,0.043979404,0.171757729,0.207762726,0.479626936,"Ibrahim","no","no","yes","no","treatment"
"149",208,"Jaccard","Ibrahim et al. 2019","Control-ERbKOVil","genotype, hormonal intervention","genotype, hormonal intervention","fecal",4,4,0.411287109,0.442208168,0.103447864,0.059115968,0.318799119,0.511832818,"Ibrahim","yes","yes","no","no","treatment"
"150",352,"Jaccard","Kozik et al. 2019","Colitis-cecal","colitis and inflammatory intervention","colitis and inflammatory intervention","cecal",7,7,0.555998514,0.514492149,0.107826348,0.083291449,-0.403220808,0.29363101,"Kozik","no","no","yes","no","treatment"
"151",356,"Jaccard","Kozik et al. 2019","Colitis-colonMucus","colitis and inflammatory intervention","colitis and inflammatory intervention","colon mucus",5,4,0.537949631,0.387749545,0.133139768,0.132998467,-1.002623728,0.545082195,"Kozik","no","no","yes","no","treatment"
"152",360,"Jaccard","Kozik et al. 2019","Control-cecal","control","control","cecal",2,3,0.561172187,0.325001938,0.046623557,0,-4.489156261,8.156362067,"Kozik","no","no","no","no","control"
"153",364,"Jaccard","Kozik et al. 2019","Colitis-fecal_T0","colitis and inflammatory intervention","colitis and inflammatory intervention","fecal",7,7,0.459746126,0.498670976,0.100868487,0.172157598,0.258214153,0.288960818,"Kozik","no","no","yes","no","treatment"
"154",368,"Jaccard","Kozik et al. 2019","Control-fecal","control","control","fecal",2,3,0.428589864,0.462093601,0.288123983,2e-16,0.103052559,0.83719237,"Kozik","no","no","no","no","control"
"155",372,"Jaccard","Kozik et al. 2019","Colitis-fecal","colitis and inflammatory intervention","colitis and inflammatory intervention","fecal",5,7,0.541296239,0.515831047,0.092388492,0.105391244,-0.240271474,0.34634618,"Kozik","no","no","yes","no","treatment"
"156",376,"Jaccard","Kozik et al. 2019","Control-fecal_T0","control","control","fecal",2,3,0.267247144,0.421444592,0.165349993,0,0.826452591,1.081530708,"Kozik","no","no","no","no","control"
"157",76,"Jaccard","Lindheim et al. 2018","PRJNA445979","mixed","mixed","fecal",76,93,0.537033999,0.516487167,0.066759799,0.075281995,-0.289254006,0.024163737,"Lindheim","no","no","no","no","treatment"
"158",4,"Jaccard","Lyte et al. 2022","beef-chow-stress","dietary intervention, enviromental intervention","dietary intervention, enviromental intervention","fecal",18,20,0.51471259,0.497295593,0.041276182,0.045500579,-0.393588035,0.107816674,"Lyte","no","no","no","yes","treatment"
"159",8,"Jaccard","Lyte et al. 2022","chow-stress","enviromental intervention","enviromental intervention","fecal",20,20,0.520621049,0.506684585,0.031885827,0.056104962,-0.29933849,0.101235733,"Lyte","no","no","no","no","treatment"
"160",12,"Jaccard","Lyte et al. 2022","chow-control","control","control","fecal",20,19,0.521670989,0.52007491,0.041438707,0.040537761,-0.038153352,0.102652224,"Lyte","no","no","no","no","control"
"161",16,"Jaccard","Lyte et al. 2022","beef-chow","dietary intervention","dietary intervention","fecal",18,19,0.515594345,0.553348142,0.053402464,0.063657027,0.63025738,0.114159414,"Lyte","no","no","no","yes","treatment"
"162",60,"Jaccard","Pizarro et al. 2021","EtOH-Syn-T1","dietary intervention_mixed","dietary intervention","fecal",10,8,0.457522874,0.393071891,0.042622085,0.020685205,-1.907283119,0.352520325,"Pizarro","no","no","no","yes","treatment"
"163",64,"Jaccard","Pizarro et al. 2021","Symbiotic-T0","dietary intervention_good","dietary intervention","fecal",10,8,0.438611381,0.345340819,0.075502709,0.074604097,-1.184252672,0.274162938,"Pizarro","no","no","no","yes","treatment"
"164",68,"Jaccard","Pizarro et al. 2021","Water-T0","control","control","fecal",10,8,0.463580053,0.37042277,0.063963822,0.027146455,-1.889360003,0.350134918,"Pizarro","no","no","no","no","control"
"165",72,"Jaccard","Pizarro et al. 2021","EtOH-T1","dietary intervention_bad","dietary intervention","fecal",10,8,0.423950356,0.364072006,0.068320124,0.095844829,-0.671544173,0.240808776,"Pizarro","no","no","no","yes","treatment"
"166",320,"Jaccard","Ramakrishna et al. 2020","HSV1-infected","infection","infection","fecal",5,5,0.48420091,0.289529372,0.104228288,0.147568943,-1.375582276,0.550643049,"Ramakrishna","no","no","no","no","treatment"
"167",324,"Jaccard","Ramakrishna et al. 2020","Control","control","control","fecal",5,5,0.404272257,0.522103061,0.158238612,0.087854776,0.831114251,0.454991734,"Ramakrishna","no","no","no","no","control"
"168",328,"Jaccard","Ramakrishna et al. 2020","ACV-injected","drug treatment (immune-related)","drug treatment","fecal",5,5,0.504134828,0.452338858,0.213334997,0.165937095,-0.24465551,0.404765253,"Ramakrishna","no","no","no","no","treatment"
"169",332,"Jaccard","Ramakrishna et al. 2020","IVIG-injected","drug treatment (immune-related)","drug treatment","fecal",5,5,0.411063641,0.292154046,0.1886943,0.084179652,-0.734691392,0.442972029,"Ramakrishna","no","no","no","no","treatment"
"170",336,"Jaccard","Ramakrishna et al. 2020","ACV+IVIG-injected","drug treatment (immune-related)","drug treatment","fecal",5,5,0.372507741,0.567887842,0.149618309,0.075911405,1.486672186,0.575956935,"Ramakrishna","no","no","no","no","treatment"
"171",340,"Jaccard","Ramakrishna et al. 2020","HSV1-infected; IVIG-injected","infection, drug treatment (immune-related)","infection, drug treatment","fecal",5,4,0.520470825,0.492381546,0.111340213,0.111245983,-0.224187179,0.454753842,"Ramakrishna","no","no","no","no","treatment"
"172",344,"Jaccard","Ramakrishna et al. 2020","HSV1-infected; ACV-injected","infection, drug treatment (immune-related)","infection, drug treatment ","fecal",4,4,0.458097309,0.498645721,0.200868653,0.202148184,0.174788012,0.503556946,"Ramakrishna","no","no","no","no","treatment"
"173",348,"Jaccard","Ramakrishna et al. 2020","HSV1-infected; ACV+IVIG-injected","infection, drug treatment (immune-related)","infection, drug treatment ","fecal",5,5,0.500087229,0.547397265,0.071028335,0.076064801,0.580338641,0.4268126,"Ramakrishna","no","no","no","no","treatment"
"174",120,"Jaccard","Son et al. 2019","IL-10 Knockout ","colitis and inflammatory intervention, genotype","colitis and inflammatory intervention, genotype","fecal",8,8,0.41347693,0.437351589,0.158497095,0.086328178,0.176840375,0.251274814,"Son","yes","no","yes","no","treatment"
"175",124,"Jaccard","Son et al. 2019","Control","control","control","fecal",8,8,0.278244593,0.463835809,0.12025518,0.046205638,1.925888754,0.401198068,"Son","no","no","no","no","control"
"176",192,"Jaccard","Song et al. 2020","Control","control","control","fecal",5,11,0.446345462,0.517504726,0.092390128,0.127529893,0.648954313,0.30807679,"Song","no","no","no","no","control"
"177",96,"Jaccard","Song et al. 2021","Control","control","control","fecal",8,8,0.438856031,0.459522905,0.173423326,0.074610921,0.146342376,0.25087302,"Song","no","no","no","no","control"
"178",100,"Jaccard","Song et al. 2021","Nrf2KO","genotype (CRC-treatment)","genotype","fecal",8,8,0.434692094,0.496208478,0.117276702,0.088423108,0.559912127,0.262779786,"Song","yes","no","no","no","treatment"
"179",104,"Jaccard","Song et al. 2021","AOM/DSS-Nrf2KO","colitis and inflammatory intervention, genotype (CRC-treatment)","colitis and inflammatory intervention, genotype","fecal",8,8,0.503985881,0.352070264,0.08328421,0.171311801,-1.06616373,0.296337399,"Song","yes","no","yes","no","treatment"
"180",108,"Jaccard","Song et al. 2021","AOM/DSS","colitis and inflammatory intervention","colitis and inflammatory intervention","fecal",8,8,0.549809222,0.510347825,0.078385997,0.086275449,-0.452560474,0.258349051,"Song","no","no","yes","no","treatment"
"181",260,"Jaccard","Song et al. 2022","AOM/DSS","colitis and inflammatory intervention","colitis and inflammatory intervention","fecal",10,7,0.335368259,0.294695904,0.108794867,0.07303965,-0.433295813,0.249934208,"Song","no","no","yes","no","treatment"
"182",264,"Jaccard","Song et al. 2022","AOM/DSS_ steroid-injected","colitis and inflammatory intervention, hormonal intervention (prime male)","colitis and inflammatory intervention, hormonal intervention","fecal",8,4,0.227798212,0.293897793,0.130937001,0.113143003,0.51357648,0.39094085,"Song","no","yes","yes","no","treatment"
"183",268,"Jaccard","Song et al. 2022","Control","control","control","fecal",4,4,0.256554218,0.231212674,0.089650251,0.059892568,-0.288734088,0.509706219,"Song","no","no","no","no","control"
"184",380,"Jaccard","Strickland et al. 2021","Sigmodon_hispidus_Skin_day28_Control","rats","rats","skin",5,9,0.602527403,0.611726363,0.073158392,0.02845274,0.138975333,0.31205156,"Strickland","no","no","no","no","treatment"
"185",384,"Jaccard","Strickland et al. 2021","Sigmodon_fulviventer_Skin_day7_Control","rats","rats","skin",10,3,0.490288029,0.57513091,0.086642119,0.094334296,0.848546683,0.472167465,"Strickland","no","no","no","no","treatment"
"186",388,"Jaccard","Strickland et al. 2021","Sigmodon_hispidus_Ear_day28_Control","rats","rats","ear",5,9,0.6477474,0.565513736,0.026281841,0.046943144,-2.226418123,0.552475445,"Strickland","no","no","no","no","treatment"
"187",392,"Jaccard","Strickland et al. 2021","Sigmodon_hispidus_Skin_day7_Control","rats","rats","skin",5,8,0.60514491,0.55610141,0.032474875,0.067700304,-0.943285705,0.372989765,"Strickland","no","no","no","no","treatment"
"188",396,"Jaccard","Strickland et al. 2021","Sigmodon_fulviventer_Nose_day0_Control","rats","rats","nose",5,3,0.570722189,0.585516458,0.015431637,0.094769704,0.164984403,0.536502461,"Strickland","no","no","no","no","treatment"
"189",400,"Jaccard","Strickland et al. 2021","Sigmodon_fulviventer_Fecal_day0_Control","rats","rats","fecal",20,3,0.418053944,0.570794268,0.031219133,0.066694066,2.294176239,0.519971119,"Strickland","no","no","no","no","treatment"
"190",404,"Jaccard","Strickland et al. 2021","Sigmodon_hispidus_Ear_day7_Control","rats","rats","ear",5,9,0.499185146,0.517674164,0.083287645,0.187006821,0.135616431,0.31200665,"Strickland","no","no","no","no","treatment"
"191",408,"Jaccard","Strickland et al. 2021","Sigmodon_hispidus_Nose_day28_Control","rats","rats","nose",5,8,0.620303101,0.327407237,0.021848678,0.075747459,-5.571341405,1.999101031,"Strickland","no","no","no","no","treatment"
"192",412,"Jaccard","Strickland et al. 2021","Sigmodon_fulviventer_Fecal_day28_Control","rats","rats","fecal",10,3,0.406878124,0.516340173,0.040975858,0.054120822,1.958405081,0.640188881,"Strickland","no","no","no","no","treatment"
"193",416,"Jaccard","Strickland et al. 2021","Sigmodon_hispidus_Fecal_day28_Control","rats","rats","fecal",5,9,0.572033847,0.462664652,0.095219709,0.026561798,-1.291737437,0.39235826,"Strickland","no","no","no","no","treatment"
"194",420,"Jaccard","Strickland et al. 2021","Sigmodon_hispidus_Fecal_day14_Control","rats","rats","fecal",5,9,0.479827449,0.437546066,0.025253259,0.132054349,-0.501046011,0.323335154,"Strickland","no","no","no","no","treatment"
"195",424,"Jaccard","Strickland et al. 2021","Sigmodon_hispidus_Nose_day7_Control","rats","rats","nose",5,9,0.45392101,0.374234657,0.138037379,0.140868595,-0.536607798,0.325131937,"Strickland","no","no","no","no","treatment"
"196",428,"Jaccard","Strickland et al. 2021","Sigmodon_fulviventer_Nose_day7_Control","rats","rats","nose",10,3,0.521095736,0.552699097,0.02554055,0.144464183,0.224134802,0.436042781,"Strickland","no","no","no","no","treatment"
"197",432,"Jaccard","Strickland et al. 2021","Sigmodon_fulviventer_Skin_day0_Control","rats","rats","skin",5,3,0.462164576,0.538925002,0.20857558,0.177237943,0.35416248,0.547936904,"Strickland","no","no","no","no","treatment"
"198",436,"Jaccard","Strickland et al. 2021","Sigmodon_fulviventer_Fecal_day21_Control","rats","rats","fecal",10,3,0.455572933,0.522639352,0.082376078,0.04505198,1.159277851,0.505816506,"Strickland","no","no","no","no","treatment"
"199",440,"Jaccard","Strickland et al. 2021","Sigmodon_fulviventer_Ear_day0_Control","rats","rats","ear",4,3,0.489239642,0.55988127,0.249977337,0.135130713,0.313232965,0.598165718,"Strickland","no","no","no","no","treatment"
"200",444,"Jaccard","Strickland et al. 2021","Sigmodon_hispidus_Fecal_day7_Control","rats","rats","fecal",5,9,0.549451014,0.473282243,0.091471545,0.057930433,-0.871156584,0.348064314,"Strickland","no","no","no","no","treatment"
"201",448,"Jaccard","Strickland et al. 2021","Sigmodon_fulviventer_Skin_day28_Control","rats","rats","skin",10,3,0.524360892,0.645401169,0.04097369,0.02776759,3.679037953,1.163346436,"Strickland","no","no","no","no","treatment"
"202",452,"Jaccard","Strickland et al. 2021","Sigmodon_hispidus_Fecal_day0_Control","rats","rats","fecal",15,9,0.530934205,0.57736487,0.053518779,0.037637645,1.016943231,0.203301138,"Strickland","no","no","no","no","treatment"
"203",456,"Jaccard","Strickland et al. 2021","Sigmodon_fulviventer_Fecal_day14_Control","rats","rats","fecal",10,3,0.487547457,0.557039837,0.064982346,0.096641657,0.704729385,0.460119273,"Strickland","no","no","no","no","treatment"
"204",460,"Jaccard","Strickland et al. 2021","Sigmodon_fulviventer_Nose_day28_Control","rats","rats","nose",10,3,0.549636942,0.592744824,0.055820498,0.04658851,0.828307363,0.470337034,"Strickland","no","no","no","no","treatment"
"205",464,"Jaccard","Strickland et al. 2021","Sigmodon_fulviventer_Ear_day28_Control","rats","rats","ear",10,3,0.553122016,0.615160906,0.066883429,0.055884647,0.994038727,0.486626157,"Strickland","no","no","no","no","treatment"
"206",468,"Jaccard","Strickland et al. 2021","Sigmodon_fulviventer_Fecal_day7_Control","rats","rats","fecal",10,3,0.451247741,0.535426178,0.023877394,0.054258115,1.561801292,0.564890246,"Strickland","no","no","no","no","treatment"
"207",472,"Jaccard","Strickland et al. 2021","Sigmodon_hispidus_Fecal_day21_Control","rats","rats","fecal",5,9,0.533968321,0.479346366,0.029449699,0.062323723,-1.181283976,0.379057795,"Strickland","no","no","no","no","treatment"
"208",476,"Jaccard","Strickland et al. 2021","Sigmodon_fulviventer_Ear_day7_Control","rats","rats","ear",10,3,0.53200426,0.571184928,0.125681393,0.091371817,0.369902497,0.440712998,"Strickland","no","no","no","no","treatment"
"209",168,"Jaccard","Sun et al. 2020","High fat","dietary intervention","dietary intervention","fecal",8,7,0.409142888,0.467012429,0.076032367,0.104943434,0.587254366,0.283161582,"Sun","no","no","no","yes","treatment"
"210",172,"Jaccard","Sun et al. 2020","Pomctm1/tm1, High fat","dietary intervention, genotype (obesity)","dietary intervention, genotype","fecal",8,7,0.428778491,0.469442961,0.100810815,0.096159712,0.389129546,0.274576896,"Sun","yes","no","no","yes","treatment"
"211",176,"Jaccard","Sun et al. 2020","Control","control","control","fecal",8,8,0.41210355,0.460912366,0.110872411,0.08488717,0.467279181,0.258900957,"Sun","no","no","no","no","control"
"212",180,"Jaccard","Sun et al. 2020","Pomctm1/tm1","genotype (obesity)","genotype","fecal",8,8,0.45780475,0.461755549,0.043195634,0.102310471,0.047558091,0.2500922,"Sun","yes","no","no","no","treatment"
"213",184,"Jaccard","Tam et al. 2020","Smoke exposed_cecal","smoke-exposed","smoke-exposed","cecal",10,10,0.501771512,0.452331053,0.043426079,0.049029926,-1.022318659,0.232134923,"Tam","no","no","no","no","treatment"
"214",188,"Jaccard","Tam et al. 2020","Control_cecal","control","control","cecal",10,10,0.496104691,0.487906404,0.038340006,0.088907514,-0.114675122,0.200404337,"Tam","no","no","no","no","control"
"215",244,"Jaccard","Tashiro et al. 2020","Cellulose","dietary intervention (dietary fiber)","dietary intervention","fecal",8,8,0.346562282,0.409849374,0.101106512,0.135882349,0.499522527,0.260171711,"Tashiro","no","no","no","yes","treatment"
"216",248,"Jaccard","Tashiro et al. 2020","Pectin","dietary intervention (dietary fiber)","dietary intervention","fecal",8,8,0.43069104,0.411179537,0.169992722,0.116142147,-0.126693945,0.250654328,"Tashiro","no","no","no","yes","treatment"
"217",252,"Jaccard","Tashiro et al. 2020","Control","control","control","fecal",8,8,0.42791677,0.368340046,0.151330271,0.189006501,-0.328940058,0.2544108,"Tashiro","no","no","no","no","control"
"218",256,"Jaccard","Tashiro et al. 2020","Fiberfree","dietary intervention","dietary intervention","fecal",8,8,0.297518197,0.311732389,0.104428992,0.108014633,0.126476734,0.250652086,"Tashiro","no","no","no","yes","treatment"
"219",112,"Jaccard","Velasco et al. 2021","C57BL/6J","control","control","fecal",4,4,0.192737411,0.247197107,0.094608571,0.036282611,0.660232904,0.55075143,"Velasco","no","no","no","no","control"
"220",116,"Jaccard","Velasco et al. 2021","MRL/MpJ","genotype (primed tissue regeneration abilities)","genotype","fecal",4,4,0.343681378,0.316083872,0.061915201,0.067330129,-0.370627219,0.51599295,"Velasco","yes","no","no","no","treatment"
"221",296,"Jaccard","Weng et al. 2019","APOE4_APP transgene +","genotype (prime Alzheimer), AD transgenic ","genotype, AD transgenic ","fecal",19,24,0.497658905,0.513291684,0.053557612,0.079866645,0.23108144,0.0949784,"Weng","yes","no","no","no","treatment"
"222",300,"Jaccard","Weng et al. 2019","APOE2_APP transgene +","genotype (neuroprotective against Alzheimer), AD transgenic ","genotype, AD transgenic ","fecal",6,11,0.50043738,0.492930544,0.091202489,0.122955663,-0.069245058,0.257756501,"Weng","yes","no","no","no","treatment"
"223",304,"Jaccard","Weng et al. 2019","APOE3_APP transgene -","genotype (neutral)","genotype","fecal",20,15,0.53309338,0.515522825,0.100921269,0.073506457,-0.199141426,0.117301061,"Weng","yes","no","no","no","treatment"
"224",308,"Jaccard","Weng et al. 2019","APOE2_APP transgene -","genotype (neuroprotective against Alzheimer)","genotype","fecal",16,18,0.530736655,0.515008338,0.067257021,0.056000723,-0.246748285,0.119061707,"Weng","yes","no","no","no","treatment"
"225",312,"Jaccard","Weng et al. 2019","APOE3_APP transgene +","genotype (neutral), AD transgenic ","genotype, AD transgenic ","fecal",13,21,0.506821209,0.468334403,0.065529758,0.04224372,-0.648927873,0.131501141,"Weng","yes","no","no","no","treatment"
"226",316,"Jaccard","Weng et al. 2019","APOE4_APP transgene -","genotype (prime Alzheimer)","genotype","fecal",32,24,0.513072368,0.531999036,0.087279857,0.069771614,0.240146062,0.073468496,"Weng","yes","no","no","no","treatment"
"227",212,"Jaccard","Wolfe et al. 2020","Smad3-/-_healthy_SFB-_fecal","genotype (deficient immunity)","genotype","fecal",158,135,0.540831782,0.512998585,0.073325768,0.100465502,-0.311918059,0.013904702,"Wolfe","yes","no","no","no","treatment"
"228",216,"Jaccard","Wolfe et al. 2020","Smad3-/-_healthy_SFB+_fecal","genotype (deficient immunity), microbe intervention","genotype, microbe intervention","fecal",156,49,0.450876216,0.427743425,0.106375944,0.096638671,-0.232735258,0.026952992,"Wolfe","yes","no","no","no","treatment"
"229",220,"Jaccard","Wolfe et al. 2020","Smad3-/-_CRC_SFB-_fecal","genotype (deficient immunity), colitis and inflammatory intervention","genotype, colitis and inflammatory intervention","fecal",34,83,0.53224832,0.475127674,0.070142559,0.116367448,-0.659942448,0.043382773,"Wolfe","yes","no","yes","no","treatment"
"230",224,"Jaccard","Wolfe et al. 2020","Smad3-/-_CRC_SFB+_fecal","genotype (deficient immunity), colitis and inflammatory intervention, microbe intervention","genotype, colitis and inflammatory intervention, microbe intervention","fecal",10,68,0.516382213,0.374005706,0.096703219,0.073136716,-1.496127242,0.129778747,"Wolfe","yes","no","yes","no","treatment"
"231",228,"Jaccard","Wolfe et al. 2020","Smad3-/-_CRC_SFB-_cecal","genotype (deficient immunity), colitis and inflammatory intervention","genotype, colitis and inflammatory intervention","cecal",2,7,0.460960145,0.337820297,0.114827389,3.14e-16,-1.028818367,0.742972491,"Wolfe","yes","no","yes","no","treatment"
"232",232,"Jaccard","Wolfe et al. 2020","Smad3-/-_healthy_SFB-_cecal","genotype (deficient immunity)","genotype","cecal",15,10,0.482948153,0.477160862,0.127926893,0.154288462,-0.038715151,0.166701919,"Wolfe","yes","no","no","no","treatment"
"233",236,"Jaccard","Wolfe et al. 2020","Smad3-/-_healthy_SFB+_cecal","genotype (deficient immunity), microbe intervention","genotype, microbe intervention","cecal",15,5,0.331159328,0.367036917,0.087143037,0.132643245,0.277117631,0.269027868,"Wolfe","yes","no","no","no","treatment"
"234",240,"Jaccard","Wolfe et al. 2020","Smad3-/-_CRC_SFB+_cecal","genotype (deficient immunity), colitis and inflammatory intervention, microbe intervention","genotype, colitis and inflammatory intervention, microbe intervention","cecal",1,7,0.47294202,0,0.038944581,NA,NA,NA,"Wolfe","yes","no","yes","no","treatment"
"235",480,"Jaccard","Zajac et al. 2022","APOE4/E4_fecal","genotype (prime Alzheimer)","genotype","fecal",15,19,0.446231426,0.461139063,0.070076035,0.061931422,0.218427884,0.12008669,"Zajac","yes","no","no","no","treatment"
