"","X","Authors","metric","subgroup","group","group_general","tissue","CN","EN","yi","vi","stats","Protocol","genotype_intervention","hormonal_intervention","colitis_intervention","dietary_intervention","control"
"707",707,"Strickland et al. 2021","Shannon","Sigmodon_fulviventer_Fecal_day14_Control","rats","rats","fecal",10,3,-1.389503644,0.438033924,"lnCVR","Strickland","no","no","no","no","treatment"
"708",708,"Strickland et al. 2021","Shannon","Sigmodon_fulviventer_Fecal_day21_Control","rats","rats","fecal",10,3,-0.153630769,0.43734937,"lnCVR","Strickland","no","no","no","no","treatment"
"709",709,"Strickland et al. 2021","Shannon","Sigmodon_fulviventer_Fecal_day28_Control","rats","rats","fecal",10,3,-0.303361235,0.437729853,"lnCVR","Strickland","no","no","no","no","treatment"
"710",710,"Strickland et al. 2021","Shannon","Sigmodon_fulviventer_Fecal_day34_Control","rats","rats","fecal",10,NA,NA,NA,"lnCVR","Strickland","no","no","no","no","treatment"
"711",711,"Strickland et al. 2021","Shannon","Sigmodon_fulviventer_Fecal_day4_Control","rats","rats","fecal",10,NA,NA,NA,"lnCVR","Strickland","no","no","no","no","treatment"
"712",712,"Strickland et al. 2021","Shannon","Sigmodon_fulviventer_Fecal_day7_Control","rats","rats","fecal",10,3,-1.48340878,0.438382332,"lnCVR","Strickland","no","no","no","no","treatment"
"713",713,"Strickland et al. 2021","Shannon","Sigmodon_fulviventer_Nose_day0_Control","rats","rats","nose",5,3,0.468984369,0.876953125,"lnCVR","Strickland","no","no","no","no","treatment"
"714",714,"Strickland et al. 2021","Shannon","Sigmodon_fulviventer_Nose_day28_Control","rats","rats","nose",10,3,0.382058065,0.485168355,"lnCVR","Strickland","no","no","no","no","treatment"
"715",715,"Strickland et al. 2021","Shannon","Sigmodon_fulviventer_Nose_day7_Control","rats","rats","nose",10,3,0.902735554,0.483444711,"lnCVR","Strickland","no","no","no","no","treatment"
"716",716,"Strickland et al. 2021","Shannon","Sigmodon_fulviventer_Nose_day95_Control","rats","rats","nose",10,NA,NA,NA,"lnCVR","Strickland","no","no","no","no","treatment"
"717",717,"Strickland et al. 2021","Shannon","Sigmodon_fulviventer_Skin_day0_Control","rats","rats","skin",5,3,-0.506827742,0.634388082,"lnCVR","Strickland","no","no","no","no","treatment"
"718",718,"Strickland et al. 2021","Shannon","Sigmodon_fulviventer_Skin_day28_Control","rats","rats","skin",10,3,-0.150464563,0.459237207,"lnCVR","Strickland","no","no","no","no","treatment"
"719",719,"Strickland et al. 2021","Shannon","Sigmodon_fulviventer_Skin_day7_Control","rats","rats","skin",10,3,-0.106752738,0.445657406,"lnCVR","Strickland","no","no","no","no","treatment"
"720",720,"Strickland et al. 2021","Shannon","Sigmodon_fulviventer_Skin_day95_Control","rats","rats","skin",9,NA,NA,NA,"lnCVR","Strickland","no","no","no","no","treatment"
"721",721,"Strickland et al. 2021","Shannon","Sigmodon_hispidus_Ear_day0_Control","rats","rats","ear",NA,9,NA,NA,"lnCVR","Strickland","no","no","no","no","treatment"
"722",722,"Strickland et al. 2021","Shannon","Sigmodon_hispidus_Ear_day28_Control","rats","rats","ear",5,9,1.036015808,0.245920448,"lnCVR","Strickland","no","no","no","no","treatment"
"723",723,"Strickland et al. 2021","Shannon","Sigmodon_hispidus_Ear_day7_Control","rats","rats","ear",5,9,-1.190976129,0.294010361,"lnCVR","Strickland","no","no","no","no","treatment"
"724",724,"Strickland et al. 2021","Shannon","Sigmodon_hispidus_Ear_day95_Control","rats","rats","ear",10,NA,NA,NA,"lnCVR","Strickland","no","no","no","no","treatment"
"725",725,"Strickland et al. 2021","Shannon","Sigmodon_hispidus_Fecal_day0_Control","rats","rats","fecal",15,9,0.492250071,0.110741681,"lnCVR","Strickland","no","no","no","no","treatment"
"726",726,"Strickland et al. 2021","Shannon","Sigmodon_hispidus_Fecal_day111_Control","rats","rats","fecal",10,NA,NA,NA,"lnCVR","Strickland","no","no","no","no","treatment"
"727",727,"Strickland et al. 2021","Shannon","Sigmodon_hispidus_Fecal_day14_Control","rats","rats","fecal",5,9,0.130271488,0.227879307,"lnCVR","Strickland","no","no","no","no","treatment"
"728",728,"Strickland et al. 2021","Shannon","Sigmodon_hispidus_Fecal_day21_Control","rats","rats","fecal",5,9,-0.255797068,0.228496659,"lnCVR","Strickland","no","no","no","no","treatment"
"729",729,"Strickland et al. 2021","Shannon","Sigmodon_hispidus_Fecal_day28_Control","rats","rats","fecal",5,9,0.616823413,0.228326009,"lnCVR","Strickland","no","no","no","no","treatment"
"730",730,"Strickland et al. 2021","Shannon","Sigmodon_hispidus_Fecal_day34_Control","rats","rats","fecal",9,NA,NA,NA,"lnCVR","Strickland","no","no","no","no","treatment"
"731",731,"Strickland et al. 2021","Shannon","Sigmodon_hispidus_Fecal_day4_Control","rats","rats","fecal",10,NA,NA,NA,"lnCVR","Strickland","no","no","no","no","treatment"
"732",732,"Strickland et al. 2021","Shannon","Sigmodon_hispidus_Fecal_day7_Control","rats","rats","fecal",5,9,0.68471655,0.22733885,"lnCVR","Strickland","no","no","no","no","treatment"
"733",733,"Strickland et al. 2021","Shannon","Sigmodon_hispidus_Nose_day0_Control","rats","rats","nose",NA,9,NA,NA,"lnCVR","Strickland","no","no","no","no","treatment"
"734",734,"Strickland et al. 2021","Shannon","Sigmodon_hispidus_Nose_day28_Control","rats","rats","nose",5,8,-0.185538391,0.243741999,"lnCVR","Strickland","no","no","no","no","treatment"
"735",735,"Strickland et al. 2021","Shannon","Sigmodon_hispidus_Nose_day7_Control","rats","rats","nose",5,9,0.488133106,0.270750607,"lnCVR","Strickland","no","no","no","no","treatment"
"736",736,"Strickland et al. 2021","Shannon","Sigmodon_hispidus_Nose_day95_Control","rats","rats","nose",10,NA,NA,NA,"lnCVR","Strickland","no","no","no","no","treatment"
"737",737,"Strickland et al. 2021","Shannon","Sigmodon_hispidus_Skin_day0_Control","rats","rats","skin",NA,9,NA,NA,"lnCVR","Strickland","no","no","no","no","treatment"
"738",738,"Strickland et al. 2021","Shannon","Sigmodon_hispidus_Skin_day28_Control","rats","rats","skin",5,9,-0.376914391,0.269659979,"lnCVR","Strickland","no","no","no","no","treatment"
"739",739,"Strickland et al. 2021","Shannon","Sigmodon_hispidus_Skin_day7_Control","rats","rats","skin",5,8,0.571314891,0.263473779,"lnCVR","Strickland","no","no","no","no","treatment"
"740",740,"Strickland et al. 2021","Shannon","Sigmodon_hispidus_Skin_day95_Control","rats","rats","skin",10,NA,NA,NA,"lnCVR","Strickland","no","no","no","no","treatment"
"741",741,"Sun et al. 2020","Shannon","Control","control","control","fecal",8,8,-0.479486346,0.164323863,"lnCVR","Sun","no","no","no","no","control"
"742",742,"Sun et al. 2020","Shannon","High fat","dietary intervention","dietary intervention","fecal",8,7,-0.331845448,0.179542843,"lnCVR","Sun","no","no","no","yes","treatment"
"743",743,"Sun et al. 2020","Shannon","Pomctm1/tm1","genotype (obesity)","genotype","fecal",8,8,-0.539543807,0.1650871,"lnCVR","Sun","yes","no","no","no","treatment"
"744",744,"Sun et al. 2020","Shannon","Pomctm1/tm1, High fat","dietary intervention, genotype (obesity)","dietary intervention, genotype","fecal",8,7,-1.001758651,0.181980878,"lnCVR","Sun","yes","no","no","yes","treatment"
"745",745,"Tam et al. 2020","Shannon","""Smoke exposed, ovariectomy""","smoke-exposed, hormonal intervention (neutered female)","smoke-exposed, hormonal intervention","cecal",NA,8,NA,NA,"lnCVR","Tam","no","yes","no","no","treatment"
"746",746,"Tam et al. 2020","Shannon","Control","control","control","cecal",10,10,0.287335405,0.124402942,"lnCVR","Tam","no","no","no","no","control"
"747",747,"Tam et al. 2020","Shannon","Smoke exposed","smoke-exposed","smoke-exposed","cecal",10,10,-0.366012004,0.124822976,"lnCVR","Tam","no","no","no","no","treatment"
"748",748,"Tam et al. 2020","Shannon","ovariectomy","hormonal intervention (neutered female)","hormonal intervention","cecal",NA,10,NA,NA,"lnCVR","Tam","no","yes","no","no","treatment"
"749",749,"Tashiro et al. 2020","Shannon","Cellulose","dietary intervention (dietary fiber)","dietary intervention","fecal",8,8,-0.120244864,0.17105943,"lnCVR","Tashiro","no","no","no","yes","treatment"
"750",750,"Tashiro et al. 2020","Shannon","Control","control","control","fecal",8,8,0.250328912,0.182125052,"lnCVR","Tashiro","no","no","no","no","control"
"751",751,"Tashiro et al. 2020","Shannon","Fiberfree","dietary intervention (dietary fiber)","dietary intervention","fecal",8,8,0.866256218,0.165778496,"lnCVR","Tashiro","no","no","no","yes","treatment"
"752",752,"Tashiro et al. 2020","Shannon","Pectin","dietary intervention (dietary fiber)","dietary intervention","fecal",8,8,-0.132251251,0.178672333,"lnCVR","Tashiro","no","no","no","yes","treatment"
"753",753,"Velasco et al. 2021","Shannon","C57BL/6J","control","control","fecal",4,4,0.754156683,0.446926215,"lnCVR","Velasco","no","no","no","no","control"
"754",754,"Velasco et al. 2021","Shannon","MRL/MpJ","genotype (primed tissue regeneration abilities)","genotype","fecal",4,4,0.709509307,0.446355026,"lnCVR","Velasco","yes","no","no","no","treatment"
"755",755,"Weng et al. 2019","Shannon","APOE2_APP transgene +","genotype (neuroprotective against Alzheimer), AD transgenic ","genotype, AD transgenic ","fecal",6,11,-0.577208808,0.18224288,"lnCVR","Weng","yes","no","no","no","treatment"
"756",756,"Weng et al. 2019","Shannon","APOE2_APP transgene -","genotype (neuroprotective against Alzheimer)","genotype","fecal",16,18,-0.121202584,0.067766997,"lnCVR","Weng","yes","no","no","no","treatment"
"757",757,"Weng et al. 2019","Shannon","APOE3_APP transgene +","genotype (neutral), AD transgenic ","genotype, AD transgenic ","fecal",13,21,-0.053086381,0.072208567,"lnCVR","Weng","yes","no","no","no","treatment"
"758",758,"Weng et al. 2019","Shannon","APOE3_APP transgene -","genotype (neutral)","genotype","fecal",20,15,0.514829083,0.07051839,"lnCVR","Weng","yes","no","no","no","treatment"
"759",759,"Weng et al. 2019","Shannon","APOE4_APP transgene +","genotype (prime Alzheimer), AD transgenic ","genotype, AD transgenic ","fecal",19,24,-0.033507753,0.05298566,"lnCVR","Weng","yes","no","no","no","treatment"
"760",760,"Weng et al. 2019","Shannon","APOE4_APP transgene -","genotype (prime Alzheimer)","genotype","fecal",32,24,0.317710583,0.040934246,"lnCVR","Weng","yes","no","no","no","treatment"
"761",761,"Wolfe et al. 2020","Shannon","Smad3-/-_CRC_SFB+_cecal","genotype (deficient immunity), colitis and inflammatory intervention, microbe intervention","genotype, colitis and inflammatory intervention, microbe intervention","cecal",1,7,NA,NA,"lnCVR","Wolfe","yes","no","yes","no","treatment"
"762",762,"Wolfe et al. 2020","Shannon","Smad3-/-_CRC_SFB+_fecal","genotype (deficient immunity), colitis and inflammatory intervention, microbe intervention","genotype, colitis and inflammatory intervention, microbe intervention","fecal",10,68,0.895625661,0.071121308,"lnCVR","Wolfe","yes","no","yes","no","treatment"
"763",763,"Wolfe et al. 2020","Shannon","Smad3-/-_CRC_SFB-_cecal","genotype (deficient immunity), colitis and inflammatory intervention","genotype, colitis and inflammatory intervention","cecal",2,7,0.952139486,1.107565049,"lnCVR","Wolfe","yes","no","yes","no","treatment"
"764",764,"Wolfe et al. 2020","Shannon","Smad3-/-_CRC_SFB-_fecal","genotype (deficient immunity), colitis and inflammatory intervention","genotype, colitis and inflammatory intervention","fecal",34,83,0.472900432,0.022785297,"lnCVR","Wolfe","yes","no","yes","no","treatment"
"765",765,"Wolfe et al. 2020","Shannon","Smad3-/-_healthy_SFB+_cecal","genotype (deficient immunity), microbe intervention","genotype, microbe intervention","cecal",15,5,0.027467719,0.196507927,"lnCVR","Wolfe","yes","no","no","no","treatment"
"766",766,"Wolfe et al. 2020","Shannon","Smad3-/-_healthy_SFB+_fecal","genotype (deficient immunity), microbe intervention","genotype, microbe intervention","fecal",156,49,0.588962887,0.014498114,"lnCVR","Wolfe","yes","no","no","no","treatment"
"767",767,"Wolfe et al. 2020","Shannon","Smad3-/-_healthy_SFB-_cecal","genotype (deficient immunity)","genotype","cecal",15,10,0.550053158,0.106282411,"lnCVR","Wolfe","yes","no","no","no","treatment"
"768",768,"Wolfe et al. 2020","Shannon","Smad3-/-_healthy_SFB-_fecal","genotype (deficient immunity)","genotype","fecal",158,135,0.330659918,0.007575189,"lnCVR","Wolfe","yes","no","no","no","treatment"
"769",769,"Zajac et al. 2022","Shannon","APOE2/E2_cecal","genotype (neuroprotective against Alzheimer)","genotype","cecal",5,6,-0.915447289,0.277136541,"lnCVR","Zajac","yes","no","no","no","treatment"
"770",770,"Zajac et al. 2022","Shannon","APOE2/E2_fecal","genotype (neuroprotective against Alzheimer)","genotype","fecal",15,21,-0.132464481,0.065641478,"lnCVR","Zajac","yes","no","no","no","treatment"
"771",771,"Zajac et al. 2022","Shannon","APOE2/E2_small bowel","genotype (neuroprotective against Alzheimer)","genotype","small bowel",2,3,-0.211379409,1.392317511,"lnCVR","Zajac","yes","no","no","no","treatment"
"772",772,"Zajac et al. 2022","Shannon","APOE2/E3_cecal","genotype (neuroprotective against Alzheimer to neutral)","genotype","cecal",7,10,0.327523395,0.159117365,"lnCVR","Zajac","yes","no","no","no","treatment"
"773",773,"Zajac et al. 2022","Shannon","APOE2/E3_fecal","genotype (neuroprotective against Alzheimer to neutral)","genotype","fecal",21,36,0.083006896,0.041580309,"lnCVR","Zajac","yes","no","no","no","treatment"
"774",774,"Zajac et al. 2022","Shannon","APOE2/E3_small bowel","genotype (neuroprotective against Alzheimer to neutral)","genotype","small bowel",1,NA,NA,NA,"lnCVR","Zajac","yes","no","no","no","treatment"
"775",775,"Zajac et al. 2022","Shannon","APOE2_fecal","genotype (neuroprotective against Alzheimer)","genotype","fecal",8,7,-0.766048942,0.180114406,"lnCVR","Zajac","yes","no","no","no","treatment"
"776",776,"Zajac et al. 2022","Shannon","APOE3/E3_cecal","genotype (neutral)","genotype","cecal",13,5,-0.666575771,0.202084985,"lnCVR","Zajac","yes","no","no","no","treatment"
"777",777,"Zajac et al. 2022","Shannon","APOE3/E3_fecal","genotype (neutral)","genotype","fecal",41,15,-0.169758872,0.051688451,"lnCVR","Zajac","yes","no","no","no","treatment"
"778",778,"Zajac et al. 2022","Shannon","APOE3/E3_small bowel","genotype (neutral)","genotype","small bowel",4,2,0.599017897,1.281885044,"lnCVR","Zajac","yes","no","no","no","treatment"
"779",779,"Zajac et al. 2022","Shannon","APOE3/E4_cecal","genotype (neutral to prime Alzheimer)","genotype","cecal",10,8,-0.802229706,0.143870178,"lnCVR","Zajac","yes","no","no","no","treatment"
"780",780,"Zajac et al. 2022","Shannon","APOE3/E4_fecal","genotype (neutral to prime Alzheimer)","genotype","fecal",32,23,0.177970053,0.04104261,"lnCVR","Zajac","yes","no","no","no","treatment"
"781",781,"Zajac et al. 2022","Shannon","APOE3/E4_small bowel","genotype (neutral to prime Alzheimer)","genotype","small bowel",NA,1,NA,NA,"lnCVR","Zajac","yes","no","no","no","treatment"
"782",782,"Zajac et al. 2022","Shannon","APOE3_fecal","genotype (neutral)","genotype","fecal",6,7,0.154637882,0.218649899,"lnCVR","Zajac","yes","no","no","no","treatment"
"783",783,"Zajac et al. 2022","Shannon","APOE4/E4_cecal","genotype (prime Alzheimer)","genotype","cecal",5,4,-0.412266387,0.380192136,"lnCVR","Zajac","yes","no","no","no","treatment"
"784",784,"Zajac et al. 2022","Shannon","APOE4/E4_fecal","genotype (prime Alzheimer)","genotype","fecal",15,19,0.268062605,0.069382987,"lnCVR","Zajac","yes","no","no","no","treatment"
"785",785,"Zajac et al. 2022","Shannon","APOE4/E4_small bowel","genotype (prime Alzheimer)","genotype","small bowel",3,3,-0.363756363,0.757501408,"lnCVR","Zajac","yes","no","no","no","treatment"
"786",786,"Zajac et al. 2022","Shannon","APOE4_fecal","genotype (prime Alzheimer)","genotype","fecal",7,7,0.450743559,0.195620885,"lnCVR","Zajac","yes","no","no","no","treatment"
"787",787,"Zou et al. 2021","Shannon","Control","control","control","fecal",4,4,1.406942174,0.448292268,"lnCVR","Zou","no","no","no","no","control"
"788",788,"Zou et al. 2021","Shannon","Glrx1 KO + High fat chow","genotype (pro-inflammation), dietary intervention","genotype, dietary intervention","fecal",4,4,-0.702680909,0.446878051,"lnCVR","Zou","yes","no","no","yes","treatment"
"789",789,"Zou et al. 2021","Shannon","Glrx1 KO + Standard chow","genotype (pro-inflammation), dietary intervention","genotype, dietary intervention","fecal",2,3,0.832742942,1.377036088,"lnCVR","Zou","yes","no","no","yes","treatment"
"790",790,"Zou et al. 2021","Shannon","High fat chow","dietary intervention","dietary intervention","fecal",5,5,-0.352886478,0.313699437,"lnCVR","Zou","no","no","no","yes","treatment"
"791",791,"Cheema & Pluznick 2019","Simpson","Ang II infusion","increased blood pressure (cardiovascular disease model)","drug treatment","fecal",3,3,0.565734811,0.750623417,"lnCVR","Cheema","no","no","no","no","treatment"
"792",792,"Cheema & Pluznick 2019","Simpson","Control","control","control","fecal",3,3,-0.199097759,0.75181897,"lnCVR","Cheema","no","no","no","no","control"
"793",793,"Ellis et al. 2021","Simpson","13C11MK4","dietary intervention","dietary intervention","cecal",7,7,-1.004717631,0.194521612,"lnCVR","Ellis","no","no","no","yes","treatment"
"794",794,"Ellis et al. 2021","Simpson","2H7MK7","dietary intervention","dietary intervention","cecal",7,7,-0.215559908,0.194476811,"lnCVR","Ellis","no","no","no","yes","treatment"
"795",795,"Ellis et al. 2021","Simpson","2H7MK9","dietary intervention","dietary intervention","cecal",7,7,0.746878203,0.194466399,"lnCVR","Ellis","no","no","no","yes","treatment"
"796",796,"Ellis et al. 2021","Simpson","2H7PK","dietary intervention","dietary intervention","cecal",7,7,-1.138712959,0.194575617,"lnCVR","Ellis","no","no","no","yes","treatment"
"797",797,"Ellis et al. 2021","Simpson","Combo","dietary intervention","dietary intervention","cecal",10,9,-0.79453494,0.132049457,"lnCVR","Ellis","no","no","no","yes","treatment"
"798",798,"Ellis et al. 2021","Simpson","Control (unlabeled PK)","control","control","cecal",7,7,-1.33725879,0.194497163,"lnCVR","Ellis","no","no","no","no","control"
"799",799,"Ellis et al. 2021","Simpson","MK4","dietary intervention","dietary intervention","cecal",10,10,-0.43577088,0.123461658,"lnCVR","Ellis","no","no","no","yes","treatment"
"800",800,"Ellis et al. 2021","Simpson","MK9","dietary intervention","dietary intervention","cecal",9,9,-0.454115692,0.140628702,"lnCVR","Ellis","no","no","no","yes","treatment"
"801",801,"Ellis et al. 2021","Simpson","PK","dietary intervention","dietary intervention","cecal",10,9,-0.437883418,0.132049653,"lnCVR","Ellis","no","no","no","yes","treatment"
"802",802,"Ellis et al. 2021","Simpson","VKdef","dietary intervention","dietary intervention","cecal",8,9,-0.471162611,0.151948352,"lnCVR","Ellis","no","no","no","yes","treatment"
"803",803,"Gubert et al. 2022","Simpson","R6/1_Enviromental enrichment ","genotype, environmental intervention","genotype, environmental intervention","fecal",8,7,-0.219903004,0.179996929,"lnCVR","Gubert","yes","no","no","no","treatment"
"804",804,"Gubert et al. 2022","Simpson","R6/1_Exercise","genotype, exercise","genotype, exercise","fecal",8,8,1.07570799,0.164314414,"lnCVR","Gubert","yes","no","no","no","treatment"
"805",805,"Gubert et al. 2022","Simpson","R6/1_control","genotype","genotype","fecal",8,8,0.450888803,0.164506187,"lnCVR","Gubert","yes","no","no","no","treatment"
"806",806,"Gubert et al. 2022","Simpson","WT_Enviromental enrichment ","environmental intervention","environmental intervention","fecal",8,8,-0.049281626,0.1655782,"lnCVR","Gubert","no","no","no","no","treatment"
"807",807,"Gubert et al. 2022","Simpson","WT_Exercise","exercise","exercise","fecal",8,8,-0.161400906,0.163890112,"lnCVR","Gubert","no","no","no","no","treatment"
"808",808,"Gubert et al. 2022","Simpson","WT_control","control","control","fecal",8,8,-0.520309572,0.16704,"lnCVR","Gubert","no","no","no","no","control"
"809",809,"Ibrahim et al. 2019","Simpson","AOM/DSS","colitis and inflammatory intervention","colitis and inflammatory intervention","fecal",7,3,0.675069302,0.472589604,"lnCVR","Ibrahim","no","no","yes","no","treatment"
"810",810,"Ibrahim et al. 2019","Simpson","AOM/DSS-ERbKOVil","colitis and inflammatory intervention, genotype, hormonal intervention","colitis and inflammatory intervention, genotype, hormonal intervention","fecal",7,6,0.819888353,0.217313106,"lnCVR","Ibrahim","yes","yes","yes","no","treatment"
"811",811,"Ibrahim et al. 2019","Simpson","Control","control","control","fecal",4,4,-1.365776181,0.444702869,"lnCVR","Ibrahim","no","no","no","no","control"
"812",812,"Ibrahim et al. 2019","Simpson","Control-ERbKOVil","genotype, hormonal intervention","genotype, hormonal intervention","fecal",4,4,0.359504926,0.44452453,"lnCVR","Ibrahim","yes","yes","no","no","treatment"
"813",813,"Kozik et al. 2019","Simpson","Colitis-cecal","colitis and inflammatory intervention","colitis and inflammatory intervention","cecal",7,7,1.36826894,0.195203772,"lnCVR","Kozik","no","no","yes","no","treatment"
"814",814,"Kozik et al. 2019","Simpson","Colitis-colonMucus","colitis and inflammatory intervention","colitis and inflammatory intervention","colon mucus",5,4,1.334608152,0.379691282,"lnCVR","Kozik","no","no","yes","no","treatment"
"815",815,"Kozik et al. 2019","Simpson","Colitis-colonMucus_T0","colitis and inflammatory intervention","colitis and inflammatory intervention","colon mucus",1,NA,NA,NA,"lnCVR","Kozik","no","no","yes","no","treatment"
"816",816,"Kozik et al. 2019","Simpson","Colitis-fecal","colitis and inflammatory intervention","colitis and inflammatory intervention","fecal",5,7,0.246942105,0.254977081,"lnCVR","Kozik","no","no","yes","no","treatment"
"817",817,"Kozik et al. 2019","Simpson","Colitis-fecal_T0","colitis and inflammatory intervention","colitis and inflammatory intervention","fecal",7,7,-0.372050589,0.197451074,"lnCVR","Kozik","no","no","yes","no","treatment"
"818",818,"Kozik et al. 2019","Simpson","Control-cecal","control","control","cecal",2,3,-0.61277063,1.375130354,"lnCVR","Kozik","no","no","no","no","control"
"819",819,"Kozik et al. 2019","Simpson","Control-colonMucus","control","control","colon mucus",NA,3,NA,NA,"lnCVR","Kozik","no","no","no","no","control"
"820",820,"Kozik et al. 2019","Simpson","Control-fecal","control","control","fecal",2,3,2.166134233,1.387996458,"lnCVR","Kozik","no","no","no","no","control"
"821",821,"Kozik et al. 2019","Simpson","Control-fecal_T0","control","control","fecal",2,3,0.482771618,1.377454385,"lnCVR","Kozik","no","no","no","no","control"
"822",822,"Li et al. 2020","Simpson","Chow diet + STZ injection+ Distilled water ","dietary intervention, induced type 1 diabetes","dietary intervention, drug treatment","",5,1,NA,NA,"lnCVR","Li","no","no","no","yes","treatment"
"823",823,"Li et al. 2020","Simpson","HFD+ STZ injection + DNJ","dietary intervention (mixed), induced type 1 diabetes","dietary intervention, drug treatment","",1,9,NA,NA,"lnCVR","Li","no","no","no","yes","treatment"
"824",824,"Li et al. 2020","Simpson","HFD+ STZ injection+ Distilled water","dietary intervention (High-fat), induced type 1 diabetes","dietary intervention, drug treatment","",NA,3,NA,NA,"lnCVR","Li","no","no","no","yes","treatment"
"825",825,"Lindheim et al. 2018","Simpson","PRJNA445979","mixed","mixed","fecal",76,93,0.124181624,0.012922412,"lnCVR","Lindheim","no","no","no","no","treatment"
"826",826,"Lyte et al. 2022","Simpson","beef-chow","dietary intervention","dietary intervention","fecal",18,19,0.414552023,0.060510246,"lnCVR","Lyte","no","no","no","yes","treatment"
"827",827,"Lyte et al. 2022","Simpson","beef-chow-stress","dietary intervention, enviromental intervention","dietary intervention, enviromental intervention","fecal",18,20,0.426578926,0.058876462,"lnCVR","Lyte","no","no","no","yes","treatment"
"828",828,"Lyte et al. 2022","Simpson","chow-control","control","control","fecal",20,19,-1.834719715,0.057238953,"lnCVR","Lyte","no","no","no","no","control"
"829",829,"Lyte et al. 2022","Simpson","chow-stress","enviromental intervention","enviromental intervention","fecal",20,20,-0.588171159,0.055494919,"lnCVR","Lyte","no","no","no","no","treatment"
"830",830,"Pizarro et al. 2021","Simpson","EtOH-Syn-T1","dietary intervention_mixed","dietary intervention","fecal",10,8,0.182719928,0.143405612,"lnCVR","Pizarro","no","no","no","yes","treatment"
"831",831,"Pizarro et al. 2021","Simpson","EtOH-T1","dietary intervention_bad","dietary intervention","fecal",10,8,1.022500533,0.14349415,"lnCVR","Pizarro","no","no","no","yes","treatment"
"832",832,"Pizarro et al. 2021","Simpson","Symbiotic-T0","dietary intervention_good","dietary intervention","fecal",10,8,0.928178827,0.143431319,"lnCVR","Pizarro","no","no","no","yes","treatment"
"833",833,"Pizarro et al. 2021","Simpson","Water-T0","control","control","fecal",10,8,0.183359993,0.143469876,"lnCVR","Pizarro","no","no","no","no","control"
"834",834,"Ramakrishna et al. 2020","Simpson","ACV+IVIG-injected","drug treatment (immune-related)","drug treatment","fecal",1,4,NA,NA,"lnCVR","Ramakrishna","no","no","no","no","treatment"
"835",835,"Ramakrishna et al. 2020","Simpson","ACV-injected","drug treatment (immune-related)","drug treatment","fecal",3,2,0.050911302,1.45628549,"lnCVR","Ramakrishna","no","no","no","no","treatment"
"836",836,"Ramakrishna et al. 2020","Simpson","Control","control","control","fecal",2,3,-0.184080532,1.38685625,"lnCVR","Ramakrishna","no","no","no","no","control"
"837",837,"Ramakrishna et al. 2020","Simpson","HSV1-infected","infection","infection","fecal",4,5,0.438063927,0.389696057,"lnCVR","Ramakrishna","no","no","no","no","treatment"
"838",838,"Ramakrishna et al. 2020","Simpson","HSV1-infected; ACV+IVIG-injected","infection, drug treatment (immune-related)","infection, drug treatment ","fecal",2,3,-0.313476118,1.375455992,"lnCVR","Ramakrishna","no","no","no","no","treatment"
"839",839,"Ramakrishna et al. 2020","Simpson","HSV1-infected; ACV-injected","infection, drug treatment (immune-related)","infection, drug treatment ","fecal",1,1,NA,NA,"lnCVR","Ramakrishna","no","no","no","no","treatment"
"840",840,"Ramakrishna et al. 2020","Simpson","HSV1-infected; IVIG-injected","infection, drug treatment (immune-related)","infection, drug treatment","fecal",3,1,NA,NA,"lnCVR","Ramakrishna","no","no","no","no","treatment"
"841",841,"Ramakrishna et al. 2020","Simpson","IVIG-injected","drug treatment (immune-related)","drug treatment","fecal",5,5,1.663847516,0.33246971,"lnCVR","Ramakrishna","no","no","no","no","treatment"
"842",842,"Son et al. 2019","Simpson","Control","control","control","fecal",8,8,2.623055095,0.174133571,"lnCVR","Son","no","no","no","no","control"
"843",843,"Son et al. 2019","Simpson","IL-10 Knockout ","colitis and inflammatory intervention, genotype","colitis and inflammatory intervention, genotype","fecal",8,8,-0.909965675,0.171293644,"lnCVR","Son","yes","no","yes","no","treatment"
"844",844,"Song et al. 2020","Simpson","AOM/DSS","colitis and inflammatory intervention","colitis and inflammatory intervention","fecal",12,NA,NA,NA,"lnCVR","Song","no","no","yes","no","treatment"
"845",845,"Song et al. 2020","Simpson","AOM/DSS E2-supplemented","colitis and inflammatory intervention, dietary intervention","colitis and inflammatory intervention, dietary intervention","fecal",12,NA,NA,NA,"lnCVR","Song","no","no","yes","yes","treatment"
"846",846,"Song et al. 2020","Simpson","Control","control","control","fecal",5,11,-0.61363474,0.212688199,"lnCVR","Song","no","no","no","no","control"
"847",847,"Song et al. 2020","Simpson","E2-supplemented","dietary intervention","dietary intervention","fecal",12,NA,NA,NA,"lnCVR","Song","no","no","no","yes","treatment"
"848",848,"Song et al. 2020","Simpson","ovariectomized ","hormonal intervention","hormonal intervention","fecal",NA,7,NA,NA,"lnCVR","Song","no","yes","no","no","treatment"
"849",849,"Song et al. 2021","Simpson","AOM/DSS","colitis and inflammatory intervention","colitis and inflammatory intervention","fecal",8,8,0.19446927,0.174375455,"lnCVR","Song","no","no","yes","no","treatment"
"850",850,"Song et al. 2021","Simpson","AOM/DSS-Nrf2KO","colitis and inflammatory intervention, genotype (CRC-treatment)","colitis and inflammatory intervention, genotype","fecal",8,8,0.124307918,0.17344395,"lnCVR","Song","yes","no","yes","no","treatment"
